Influencer_ID,Influencer_Name,Platform,Subscribers,Post_Categories,Country,Visits,Likes,Comments,Engagement_Rate(%),Profile_Link
INF00840,cute.shivani.05,YouTube,13400000,Unknown,India,1400000,0,725,0.00541044776119403,http://youtube.com/channel/UCLEJtcaMQePVD5N8VD8JsfA
INF00841,redbull,YouTube,13400000,Deportes,Estados Unidos,507800,29000,255,0.21832089552238806,http://youtube.com/channel/UCblfuW_4rakIf2h6aqANefA
INF00842,AlexGonzagaOfficial,YouTube,13400000,"Películas, Humor",Filipinas,1300000,32100,1100,0.24776119402985072,http://youtube.com/channel/UC6N-9Wh0DYhDI8sQS7jwjVA
INF00843,einerdtv,YouTube,13400000,"Películas, Animación",Brasil,194200,25500,1000,0.19776119402985076,http://youtube.com/channel/UCt_4wzTQqmcUvemNkeO0plA
INF00844,OficialHungria,YouTube,13400000,Música y baile,Brasil,33100,4600,135,0.03533582089552239,http://youtube.com/channel/UCAI8SmRbXgSpP8Zo3xZbxzQ
INF00845,RauwAlejandroTv,YouTube,13400000,Música y baile,Perú,6800000,90500,2800,0.6962686567164179,http://youtube.com/channel/UC_Av98lDjf5KvFib5elhpYg
INF00846,knowledgetvhindi001,YouTube,13400000,Educación,India,74700,2900,126,0.022582089552238806,http://youtube.com/channel/UC-iSP6GoVwofKXs6Ei0PdlA
INF00847,MoonbugKids_SingAlongWithMe,YouTube,13400000,Juguetes,Unknown,60300,83,0,0.0006194029850746269,http://youtube.com/channel/UCu0tjrzm4_n-9hkYSvlsC8A
INF00848,lokdhunpunjabi,YouTube,13300000,Música y baile,India,6800,170,9,0.0013458646616541353,http://youtube.com/channel/UCHcDpS0TXITVs0ZrBSIsEsA
INF00849,theworldadventureshindi,YouTube,13300000,Vlogs diarios,Unknown,4200,227,15,0.0018195488721804512,http://youtube.com/channel/UCr8EWTz_8ljPyE27CiSbsGw
INF00850,dianaromaind,YouTube,13300000,Unknown,Unknown,204200,400,0,0.003007518796992481,http://youtube.com/channel/UCGRdNfemQ7iXpacd75SE7rA
INF00851,janesergo,YouTube,13300000,Unknown,Estados Unidos,50800,1500,9,0.011345864661654135,http://youtube.com/channel/UCi-zk_MWt0Skdhm4ez_aFZw
INF00852,FamilyFitnessChannel,YouTube,13300000,Unknown,India,422000,19600,539,0.15142105263157896,http://youtube.com/channel/UCvVEcGPPEkn3zSdc-rniGMg
INF00853,sinotalgaming,YouTube,13300000,Unknown,Unknown,4800,148,4,0.001142857142857143,http://youtube.com/channel/UCzgVoayFcbmEHNQvSXveFDw
INF00854,nhstudioz,YouTube,13300000,Unknown,India,53000,251,5,0.001924812030075188,http://youtube.com/channel/UCxtwjNPrymSvS4UD_6HgcxQ
INF00855,NITINFREEFIRE,YouTube,13300000,Unknown,India,1200000,151000,3300,1.1601503759398497,http://youtube.com/channel/UCM4GJm2A0-u8baQKlsJrITA
