Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement_Rate
carlinhosmaiaof,175,Lifestyle,25800000.0,Brazil,,,
domelipa,176,Lifestyle,18900000.0,Mexico,,1100000.0,
saraalikhan95,177,Cinema & Actors/actresses,40700000.0,India,,,
m10_official,178,Sports with a ball,24500000.0,Turkey,,,
cznburak,179,Food & Cooking,37000000.0,Turkey,,,
imhyoseop,180,Lifestyle,8500000.0,Indonesia,2100000.0,2500000.0,0.2471
vancityreynolds,181,Cinema & Actors/actresses,44500000.0,United States,,,
stephencurry30,182,Sports with a ballFamily,44700000.0,United States,,,
strangerthingstv,183,Cinema & Actors/actressesShows,20500000.0,Brazil,,,
justintimberlake,184,MusicArt/ArtistsCinema & Actors/actresses,65500000.0,United States,,,
feliciathegoat,185,Music,13000000.0,United States,,1500000.0,
haileesteinfeld,186,Cinema & Actors/actresses,19100000.0,United States,,1000000.0,
lukamodric10,187,Sports with a ball,24300000.0,Spain,,,
renebaebae,188,LifestyleModeling,10700000.0,Indonesia,1500000.0,1800000.0,0.1402
do0_nct,189,Lifestyle,10300000.0,Indonesia,1400000.0,1800000.0,0.1359
paulpogba,190,Sports with a ball,54700000.0,Brazil,,,
heybiblee,191,Modeling,14400000.0,Indonesia,,1300000.0,
sergioramos,192,Sports with a ball,52300000.0,Spain,,,
nattinatasha,193,MusicCinema & Actors/actresses,35900000.0,Mexico,,,
thinkaboutzu,194,,6600000.0,United States,0.0,2800000.0,0.0
awez_darbar,195,ShowsHumor & Fun & Happiness,21400000.0,India,,,
bizarrap,196,Music,13500000.0,Argentina,1100000.0,1300000.0,0.0815
nina,197,Cinema & Actors/actresses,25700000.0,Brazil,,,
leedongwook_official,198,Cinema & Actors/actresses,14600000.0,Indonesia,,1200000.0,
_imyour_joy,199,Lifestyle,14000000.0,Indonesia,1000000.0,1200000.0,0.0714
bambam1a,200,Music,16600000.000000002,Brazil,,1100000.0,
anuel,201,Music,28800000.0,Spain,,,
momo,202,Modeling,6900000.0,Turkey,1700000.0,2600000.0,0.2464
momo,203,,6900000.0,Turkey,1700000.0,2600000.0,0.2464
zidane,204,Sports with a ball,33100000.0,Spain,,,
marshmello,205,,29400000.0,,0.0,,0.0
hardikpandya93,206,Sports with a ball,21700000.0,India,,,
sza,207,Music,12300000.0,United States,,1400000.0,
zachking,208,ShowsHumor & Fun & Happiness,24700000.0,Indonesia,,,
anitta,209,Music,62900000.0,Brazil,,,
liluzivert,210,Music,16100000.000000002,United States,,1000000.0,
kartikaaryan,211,Cinema & Actors/actresses,25500000.0,India,,,
louist91,212,Music,18500000.0,Brazil,,,
nehakakkar,213,Music,70400000.0,India,,,
iamhalsey,214,Music,30100000.0,United States,,,
thenameisyash,215,Cinema & Actors/actresses,10900000.0,India,1300000.0,1500000.0,0.1193
davidbeckham,216,FamilySports with a ball,74500000.0,India,,,
marshmello,217,Music,29400000.0,,0.0,,0.0
janhvikapoor,218,LifestyleCinema & Actors/actresses,17700000.0,India,,,
lilbaby,219,Music,19800000.0,United States,,,
onyourm__ark,220,Lifestyle,9000000.0,Indonesia,1400000.0,1800000.0,0.1556
bbrightvc,221,Cinema & Actors/actresses,15500000.0,Indonesia,,1000000.0,
serna_amini,222,,9100000.0,Iran,1300000.0,1800000.0,0.1429
riaricis1795,223,Lifestyle,31300000.0,Indonesia,,,
hannahstocking,224,Modeling,22100000.0,United States,,,
iansomerhalder,225,Cinema & Actors/actresses,23100000.0,United States,,,
somsomi0309,226,Music,15100000.0,Indonesia,,1000000.0,
mirella,227,Music,27200000.0,Brazil,,,
iamferv,228,LifestyleArt/Artists,10000000.0,Mexico,1100000.0,1500000.0,0.11
skuukzky,229,Clothing & OutfitsMusic,17900000.0,Indonesia,,,
anushkasen0408,230,Cinema & Actors/actresses,38000000.0,India,,,
kunaguero,231,Sports with a ball,23500000.0,Argentina,,,
psg,232,Sports with a ball,61200000.0,Brazil,,,
mr_faisu_07,233,ModelingCinema & Actors/actresses,27900000.0,India,,,
larasilva,234,ShowsAdult content,17400000.0,Brazil,,,
paulolondra,235,Music,13800000.0,Argentina,,1100000.0,
winmetawin,236,Lifestyle,13800000.0,Philippines,,1100000.0,
taeoxo_nct,237,Lifestyle,9400000.0,Indonesia,1200000.0,1600000.0,0.1277
tinistoessel,238,Music,18300000.0,Argentina,,,
klrahul,239,Sports with a ball,12900000.0,India,,1100000.0,
hero_ft,240,Cinema & Actors/actressesModeling,7600000.0,Brazil,1200000.0,1900000.0,0.1579
johnnyjsuh,241,LifestyleMusic,8700000.0,Indonesia,1300000.0,1600000.0,0.1494
carryminati,242,Computers & GadgetsMachinery & Technologies,15900000.0,India,,,
jessicah_o,243,Music,12100000.0,United States,,1200000.0,
samoylovaoxana,244,FamilyLifestyle,15200000.0,Russia,,,
colesprouse,245,Modeling,36000000.0,United States,,,
tigerjackieshroff,246,Cinema & Actors/actresses,35400000.0,India,,,
m.by__sana,247,,6300000.0,United States,0.0,2200000.0,0.0
holyhaein,248,,10200000.0,Indonesia,1100000.0,1300000.0,0.1078
manurios,249,Shows,11100000.0,Mexico,,1200000.0,
mina_sr_my,250,,5600000.0,United States,0.0,2400000.0,0.0
juandediospantoja,251,MusicArt/ArtistsCinema & Actors/actresses,22300000.0,Mexico,,,
rauwalejandro,252,Music,15000000.0,Spain,,,
luvadepedreiro,253,FamilySports with a ball,15300000.0,Brazil,,,
ronaldinho,254,Sports with a ball,67400000.0,Brazil,,,
avneetkaur_13,255,Cinema & Actors/actresses,32300000.0,India,,,
xeesoxee,256,Lifestyle,9300000.0,Indonesia,1100000.0,1400000.0,0.1183
daddyyankee,257,Music,45800000.0,Argentina,,,
iambeckyg,258,Music,32800000.0,Mexico,,,
xxxibgdrgn,259,PhotographyFashion,21200000.0,Indonesia,,,
ileana_official,260,Cinema & Actors/actresses,14900000.0,India,,,
taeyeon_ss,261,Music,18700000.0,South Korea,,,
sunnyleone,262,BeautyCinema & Actors/actresses,53100000.0,India,,,
soohyun_k216,263,,13700000.0,Indonesia,,,
keniaos,264,Music,13600000.0,Mexico,,,
maisa,265,Music,44000000.0,Brazil,,,
vickykaushal09,266,Cinema & Actors/actresses,14100000.0,India,,,
riyaz.14,267,LifestyleArt/Artists,27300000.0,India,,,
sachintendulkar,268,Sports with a ballLifestyle,35100000.0,India,,,
layzhang,269,Music,14200000.0,Indonesia,,,
varundvn,270,Cinema & Actors/actresses,43200000.0,India,,,
trippieredd,271,Music,13100000.0,United States,,,
clean_0828,272,Lifestyle,8000000.0,Indonesia,1200000.0,1500000.0,0.15
nayeonyny,273,,6600000.0,United States,0.0,1900000.0,0.0
angelrai07,274,Humor & Fun & Happiness,20500000.0,India,,,
chaeyo.0,275,,5800000.0,United States,0.0,2100000.0,0.0
liampayne,276,Music,24400000.0,United States,,,
lomon991111,277,Lifestyle,5700000.0,,0.0,2100000.0,0.0
psg,278,Sports with a ball,61200000.0,Brazil,,,
hi_sseulgi,279,Modeling,12500000.0,Indonesia,,,
charlieputh,280,Music,16500000.0,United States,,,
ashishchanchlani,281,Cinema & Actors/actresses,14600000.0,India,,,
iammichelemorroneofficial,282,LifestyleCinema & Actors/actressesMusic,14900000.0,Brazil,,,
_zyozyo,283,,5500000.0,United States,0.0,2100000.0,0.0
anguscloud,284,LifestyleMusic,8199999.999999999,United States,,1400000.0,
shaymitchell,285,BeautyFamilyLifestyle,33800000.0,United States,,,
kiaraaliaadvani,286,Cinema & Actors/actresses,24300000.0,India,,,
krisjenner,287,ShowsBeautyFamily,48900000.0,United States,,,
perrieedwards,288,Modeling,15500000.0,Brazil,,,
yaocabrera,289,Computers & GadgetsBusiness & Careers,14700000.0,Argentina,,,
tenlee_1001,290,Music,9800000.0,Indonesia,,1100000.0,
min9yu_k,291,Music,6900000.0,Indonesia,1300000.0,1600000.0,0.1884
alexandradaddario,292,Cinema & Actors/actresses,22600000.0,India,,,
alidaei,293,Sports with a ball,9000000.0,Iran,,1200000.0,
gatenm123,294,MusicCinema & Actors/actressesFashion,17000000.0,Brazil,,,
yaocabrera,295,Business & Careers,14300000.0,Argentina,,,
_rl9,296,Sports with a ball,26800000.0,Poland,,,
bighit_ent,297,Music,13000000.0,Indonesia,,,
kimjuncotton,298,Lifestyle,10300000.0,Indonesia,,1000000.0,
whinderssonnunes,299,Humor & Fun & Happiness,58600000.0,Brazil,,,
jy_piece,300,,4800000.0,United States,0.0,2200000.0,0.0
imsebastianstan,301,ShowsCinema & Actors/actresses,9400000.0,United States,,1100000.0,
therealcalebmclaughlin,302,Cinema & Actors/actressesLifestyle,14200000.0,United States,,,
nct,303,Music,14400000.0,Indonesia,,,
yuu_taa_1026,304,,8400000.0,Indonesia,,1200000.0,
m_kayoung,305,Cinema & Actors/actresses,8300000.000000001,Indonesia,,1200000.0,
yellow_3to3,306,LifestyleMusic,5900000.0,Indonesia,1400000.0,1700000.0,0.2373
_mariahwasa,307,,8199999.999999999,Brazil,,1300000.0,
rudeth,308,Humor & Fun & Happiness,6500000.0,United States,1000000.0,1600000.0,0.1538
mont.pantoja,309,,12000000.0,Mexico,,,
mariaalice,310,,7300000.0,Brazil,,1400000.0,
enhypen,311,Music,10500000.0,Indonesia,,,
realbarbarapalvin,312,ModelingFashion,17900000.0,Russia,,,
marktuan,313,MusicCinema & Actors/actressesModeling,12800000.0,Thailand,,,
maudyayunda,314,Music,16900000.0,Indonesia,,,
bretmanrock,315,Art/ArtistsBeauty,18400000.0,United States,,,
elrodrigocontreras,316,Lifestyle,12900000.0,Mexico,,,
nct127,317,Music,14100000.0,Indonesia,,,
wwiinn_7,318,,7300000.0,Indonesia,1200000.0,1300000.0,0.1644
