Influencer ID,Account,Platform,Follower Count,Post Engagements,Engagement Rate (%),Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
INF0080,usnan_tanong,TikTok,16000.0,439500,2746.88,5800000.0,405900.0,17400.0,16200.0,2022-02-07 16:54:35.641971
INF0081,adrianbliss,TikTok,4600000.0,821700,17.86,4600000.0,800300.0,3400.0,18000.0,2022-02-07 16:54:35.641971
INF0082,deborahyowa,TikTok,6600000.0,613800,9.3,11000000.0,602500.0,8100.0,3200.0,2022-02-07 16:54:35.641971
INF0083,stephaniebeatriz,TikTok,1000000.0,957400,95.74,4400000.0,940400.0,6200.0,10800.0,2022-02-07 16:54:35.641971
INF0084,candrasptr_,TikTok,494000.0,605800,122.63,3900000.0,575300.0,3300.0,27200.0,2022-02-07 16:54:35.641971
INF0085,mycaninelife,TikTok,134000.0,688000,513.43,3700000.0,660600.0,4100.0,23300.0,2022-02-07 16:54:35.641971
INF0086,vinnyguadagnino,TikTok,2700000.0,523600,19.39,7100000.0,505100.0,2300.0,16200.0,2022-02-07 16:54:35.641971
INF0087,nguyenphucloi30,TikTok,1000000.0,305800,30.58,4800000.0,251600.0,38400.0,15800.0,2022-02-07 16:54:35.641971
INF0088,tydollasign,TikTok,576600.0,1112100,192.87,5100000.0,1100000.0,3200.0,8900.0,2022-02-07 16:54:35.641971
INF0089,vanessalopesr,TikTok,19300000.0,739000,3.83,6700000.0,725600.0,7400.0,6000.0,2022-02-07 16:54:35.641971
INF0090,tifannylm,TikTok,7500000.0,1206000,16.08,8700000.0,1200000.0,4900.0,1100.0,2022-02-07 16:54:35.641971
INF0091,lelepons,TikTok,26200000.0,910400,3.47,8100000.0,901900.0,2500.0,6000.0,2022-02-07 16:54:35.641971
INF0092,mynamsissihab,TikTok,730400.0,823500,112.75,7200000.0,813100.0,4300.0,6100.0,2022-02-07 16:54:35.641971
INF0093,jakefellman,TikTok,12000000.0,616000,5.13,8199999.999999999,603700.0,8500.0,3800.0,2022-02-07 16:54:35.641971
INF0094,thoriqhal,TikTok,3300000.0,1106800,33.54,8000000.0,1100000.0,4900.0,1900.0,2022-02-07 16:54:35.641971
INF0095,adinross,TikTok,4600000.0,851800,18.52,5800000.0,839700.0,6900.0,5200.0,2022-02-07 16:54:35.641971
INF0096,kallmekris,TikTok,42600000.0,1109500,2.6,5600000.0,1100000.0,5200.0,4300.0,2022-02-07 16:54:35.641971
INF0097,isaiahgarza,TikTok,7300000.0,1107900,15.18,6500000.0,1100000.0,4700.0,3200.0,2022-02-07 16:54:35.641971
INF0098,lyrico__,TikTok,2800000.0,420100,15.0,3000000.0,369500.0,6400.0,44200.0,2022-02-07 16:54:35.641971
INF0099,00h.88m,TikTok,2500000.0,623600,24.94,4300000.0,602300.0,2500.0,18800.0,2022-02-07 16:54:35.641971
INF0100,pinchulli,TikTok,2100000.0,584300,27.82,5400000.0,566600.0,2000.0,15700.0,2022-02-07 16:54:35.641971
INF0101,soydekko,TikTok,4400000.0,1108553,25.19,5800000.0,1100000.0,7700.0,853.0,2022-02-07 16:54:35.641971
INF0102,thebenjishowfr,TikTok,5200000.0,730400,14.05,5400000.0,717500.0,5000.0,7900.0,2022-02-07 16:54:35.641971
INF0103,thelivingtombstone,TikTok,1200000.0,922800,76.9,3900000.0,908900.0,9100.0,4800.0,2022-02-07 16:54:35.641971
INF0104,_monaalawi,TikTok,11200000.0,959300,8.57,7400000.0,952300.0,4600.0,2400.0,2022-02-07 16:54:35.641971
INF0105,uncletics,TikTok,3700000.0,460700,12.45,3800000.0,430200.0,3300.0,27200.0,2022-02-07 16:54:35.641971
INF0106,soojinicoreana,TikTok,16500000.0,1205500,7.31,7500000.0,1200000.0,3800.0,1700.0,2022-02-07 16:54:35.641971
INF0107,agc.andy,TikTok,2400000.0,867200,36.13,3500000.0,851000.0,6800.0,9400.0,2022-02-07 16:54:35.641971
INF0108,dima_maslen,TikTok,4500000.0,661100,14.69,6000000.0,648600.0,10400.0,2100.0,2022-02-07 16:54:35.641971
INF0109,girlsontop_sm,TikTok,1000000.0,1009600,100.96,4800000.0,1000000.0,5900.0,3700.0,2022-02-07 16:54:35.641971
INF0110,nicocaponecomedy,TikTok,18900000.0,526900,2.79,9300000.0,516900.0,2900.0,7100.0,2022-02-07 16:54:35.641971
INF0111,mrbeast,TikTok,32900000.0,659000,2.0,4300000.0,642200.0,13500.0,3300.0,2022-02-07 16:54:35.641971
INF0112,selinamichelle96,TikTok,20500.0,671000,3273.17,3500000.0,650700.0,3100.0,17200.0,2022-02-07 16:54:35.641971
INF0113,billlnai,TikTok,8300000.000000001,1208000,14.55,5000000.0,1200000.0,4900.0,3100.0,2022-02-07 16:54:35.641971
INF0114,give_my_oscar,TikTok,862100.0,645300,74.85,3900000.0,626900.0,2700.0,15700.0,2022-02-07 16:54:35.641971
INF0115,piperrockelle,TikTok,8199999.999999999,546800,6.67,4300000.0,527100.0,17000.0,2700.0,2022-02-07 16:54:35.641971
INF0116,amauryguichon,TikTok,2500000.0,684000,27.36,5700000.0,672500.0,4500.0,7000.0,2022-02-07 16:54:35.641971
INF0117,sofarsabi,TikTok,5100000.0,764800,15.0,6100000.0,755600.0,7600.0,1600.0,2022-02-07 16:54:35.641971
INF0118,joaoguilherme,TikTok,6300000.0,736600,11.69,5500000.0,726100.0,8100.0,2400.0,2022-02-07 16:54:35.641971
INF0119,c4tluvr666,TikTok,2200000.0,1106900,50.31,5300000.0,1100000.0,4900.0,2000.0,2022-02-07 16:54:35.641971
INF0120,zachking,TikTok,67099999.99999999,715200,1.07,10600000.0,709800.0,3200.0,2200.0,2022-02-07 16:54:35.641971
INF0121,ayesebastien,TikTok,7000000.0,729300,10.42,4500000.0,716500.0,3900.0,8900.0,2022-02-07 16:54:35.641971
INF0122,jake2r,TikTok,1800000.0,687400,38.19,2900000.0,666500.0,3900.0,17000.0,2022-02-07 16:54:35.641971
INF0123,murda10k,TikTok,1800000.0,1010900,56.16,3700000.0,1000000.0,5000.0,5900.0,2022-02-07 16:54:35.641971
INF0124,itssassagurl,TikTok,4600000.0,679900,14.78,4300000.0,665700.0,7300.0,6900.0,2022-02-07 16:54:35.641971
INF0125,gingerbilly1,TikTok,5600000.0,366800,6.55,2800000.0,322600.0,3000.0,41200.0,2022-02-07 16:54:35.641971
INF0126,beniju03,TikTok,2100000.0,693300,33.01,4200000.0,679400.0,11100.0,2800.0,2022-02-07 16:54:35.641971
INF0127,madisonpettis,TikTok,2500000.0,987400,39.5,5600000.0,980200.0,3100.0,4100.0,2022-02-07 16:54:35.641971
INF0128,dixiedamelio,TikTok,57000000.0,714300,1.25,6200000.0,705400.0,5900.0,3000.0,2022-02-07 16:54:35.641971
INF0129,elrodcontreras,TikTok,39300000.0,811300,2.06,5000000.0,801600.0,8200.0,1500.0,2022-02-07 16:54:35.641971
INF0130,qamar_altaey,TikTok,2500000.0,414600,16.58,4300000.0,391900.0,10900.0,11800.0,2022-02-07 16:54:35.641971
INF0131,jennmelon,TikTok,1800000.0,901400,50.08,3400000.0,888800.0,5600.0,7000.0,2022-02-07 16:54:35.641971
INF0132,nourmar5,TikTok,14200000.0,342300,2.41,4100000.0,312700.0,15400.0,14200.0,2022-02-07 16:54:35.641971
INF0133,jaykindafunny8,TikTok,22300000.0,474400,2.13,12000000.0,467800.0,2600.0,4000.0,2022-02-07 16:54:35.641971
INF0134,itsjulia.a,TikTok,16700.0,759300,4546.71,4500000.0,748500.0,3800.0,7000.0,2022-02-07 16:54:35.641971
INF0135,spencer_serafica,TikTok,11800000.0,831000,7.04,4900000.0,821900.0,6600.0,2500.0,2022-02-07 16:54:35.641971
INF0136,angelaaguilar_,TikTok,8100000.0,752500,9.29,10500000.0,747900.0,2600.0,2000.0,2022-02-07 16:54:35.641971
INF0137,pkllipe,TikTok,15700000.0,784500,5.0,5100000.0,775500.0,3700.0,5300.0,2022-02-07 16:54:35.641971
INF0138,hayleygeorgiamorris,TikTok,2700000.0,511200,18.93,3300000.0,489600.0,2200.0,19400.0,2022-02-07 16:54:35.641971
INF0139,twice_tiktok_official,TikTok,13200000.0,797800,6.04,2400000.0,779200.0,13800.0,4800.0,2022-02-07 16:54:35.641971
INF0140,lexibrookerivera,TikTok,20500000.0,691400,3.37,5700000.0,682800.0,5900.0,2700.0,2022-02-07 16:54:35.641971
INF0141,theandrewschulz,TikTok,2100000.0,463500,22.07,4200000.0,445600.0,1800.0,16100.000000000002,2022-02-07 16:54:35.641971
INF0142,kallmewhateveryouwant,TikTok,10600000.0,723100,6.82,5000000.0,713800.0,4600.0,4700.0,2022-02-07 16:54:35.641971
INF0143,larrayeeee,TikTok,25500000.0,807100,3.17,4400000.0,797700.0,6800.0,2600.0,2022-02-07 16:54:35.641971
